CG_Branches1: 22.88801,104.0404,-47.32164,162.6857,1,1
CG_Branches2: 39.88786,301.0403,-41.32158,282.6856,1,1
CG_Branches3: 53.88789,535.0402,-37.32173,439.6857,1,1
CG_Bridge: -71.11217,-58.95966,-215.3216,20.68563,1,1
CG_Bunker: 171.888,755.0402,74.67848,670.686,0,0
CG_CabinetShelter: 524.6803,-51.64586,531.1931,75.26579,0,0
CG_Drain1: 340.8878,-170.9598,377.6783,-163.3144,1,0
CG_Drain2: 188.8882,-195.9598,262.6782,-183.3143,1,0
CG_Drain3: 35.91967,-249.9788,253.0967,-342.0285,1,0
CG_DSShelter: -55.54542,-439.9091,267.8409,-567.7727,1,0
CG_EastBranch: 289.8878,650.0402,199.6782,504.6857,1,1
CG_EastMidpoint: 375.888,437.0403,196.6782,294.6856,1,1
CG_EastRoot: 450.888,-44.95969,286.6784,81.68575,1,1
CG_HermitCave: -28.96601,-164.9152,96.80888,-336.2573,0,1
CG_Hideout: 179.888,622.0402,77.67848,548.6855,0,0
CG_Lab: 431.3367,-305.7423,367.1341,-42.67873,1,2
CG_LabEntrance: 207.8879,98.04021,77.67839,203.6855,0,0
CG_LeftWing: 53.98408,-472.7231,459.0026,-370.8065,2,0
CG_Line1: 14.98404,-598.7231,483.0026,-488.8065,2,0
CG_LRU: 191.8879,-231.9599,19.6785,-23.31443,0,2
CG_LRUCore: 280.4698,-306.109,241.1675,-42.54543,1,2
CG_OtherGate: -174.3197,-117.6458,-18.80647,-286.7343,0,0
CG_Pipeworks1: -710.1118,-63.95969,-765.3217,44.68573,1,0
CG_Pipeworks2: -323.112,-20.95968,-338.3218,24.68563,0,0
CG_Pipeworks2A: 377.8804,-391.646,678.1935,-359.3342,2,0
CG_Planters: -481.1122,-56.95966,-517.3215,19.68563,0,1
CG_RootShelter: 70.91966,-140.9788,-158.9033,-205.0285,2,0
CG_Shelter: -416.112,72.04052,-406.3219,168.6858,1,0
CG_SkyLine: 562.1695,-205.9788,859.7717,-133.6785,2,0
CG_Sprinkler: -595.1118,-85.95972,-459.3219,-443.3143,2,1
CG_TallTank: 268.6024,-58.00727,189.3449,154.0667,0,1
CG_TreeCore: 187.1941,377.2357,72.0987,350.7995,0,0
CG_Treetop: 176.3689,998.5474,24.48912,918.0313,1,1
CG_TreetopGate: 171.5157,864.3071,75.92005,801.3354,0,0
CG_UScenterE: 239.3689,-80.45216,-46.51096,-190.9689,2,1
CG_UScenterW: -102.6311,-93.45216,-269.5111,-191.9689,2,1
CG_USentrance: -353.6311,-100.4522,-276.5111,-318.9689,2,1
CG_USpump: -279.6311,-234.452,-145.5111,-334.9689,2,1
CG_USroot: 47.36889,-29.4521,-157.5112,-100.969,2,0
